"ScientificName","CommonName","order_name","family_nam","code","id_no","web_redlist","assessment_redlist","web_fishbase","SpecCode","DemersPelag","Vulnerability","Resilience"
"Scoliodon laticaudus","Shank, Hangor, Spadehaj, Shortfin dogshark, Dog shark, Indian dog shark, Indian dogshark, Sharp nosed shark, Trowel nose shark, Yellow dog shark, Yellow dog-shark, Yellow dogshark, spadenose shark, Lapahai, Scoliodon laticaudus, Moosi, Sandha, Sandho, Togariankou zame, Mori, Shivra, Aul pidiyan, Pooyi sravu, Mushi, Son-mushi, Sonmushi, Yu pasir, Yu jereh, Yu jerih, Yu jernih, Yu padi, Steeksnuithaai, Marracho espadarte, Libaax, Baal madoobe, Papa-sumbwi, Papa bunshu, Pillai-sorrah, Nullian sorrah, Nullian-sorrah, Palah-sorrah, Chalarm Noo","CARCHARHINIFORMES","CARCHARHINIDAE","NT",39383,"http://www.iucnredlist.org/details/classify/39383/0","http://www.iucnredlist.org/pdflink.39383","http://www.fishbase.org/summary/Scoliodon-laticaudus.html",906,"demersal",45.76,"Very low"
"Scyliorhinus besnardi","Polka-dot cat shark, polkadot catshark, lija, Roussette polka, Gestippelde kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44588,"http://www.iucnredlist.org/details/classify/44588/0","http://www.iucnredlist.org/pdflink.44588","http://www.fishbase.org/summary/Scyliorhinus-besnardi.html",843,"demersal",40.29,"Low"
"Scyliorhinus boa","Boa cat shark, boa catshark, Gatica, Roussette boa, Gomafu-torazame, Boakathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",161336,"http://www.iucnredlist.org/details/classify/161336/0","http://www.iucnredlist.org/pdflink.161336","http://www.fishbase.org/summary/Scyliorhinus-boa.html",844,"bathydemersal",49,"Low"
"Scyliorhinus canicula","Irsh, Kalb el bah'r, Kelb el bahr, Ktat, ki-rouz, kazh mor, touill bihen, Gat ver, Gat, Gatet, Gatvaire, Gattucciu, morgi, morgi meiaf, Katzenhai, Kleiner Katzenhai, Kleingefleckter Katzenhai, Kleinigefleckte, Skylopsaro, Skylopsaraki, Lesser-spotted catshark, Cat, Dogfish, Fay dog, Lesser spotted dogfish, Mona, Rough dog, Rough hound, Sandy dogfish, Small spotted dog, Small-spotted cat shark, Small-spotted dogfish, Smallspotted catshark, Spotted catshark, Spotted dogfish, small spotted catshark, small-spotted catshark, smaller spotted catshark, smaller spotted dogfish, Gato, Breka, Cat, Catuarraya, Galeo, Gat, Gatet, Gato marino, Gatvaire, Mamatxa, Melgacho, Mona, Pez perro, Pintarroja, Pitarrosa, Pitarrosa de altura, Pitarrosin, katuarraina, Pistepunahai, Catarouquiera, Catarousse, Charotel, Chat de mer, Chat marin, Gat, Gatanghier, Petite chat de mer, Petite rousette, Petite roussette, Rousse, Roussette, Saumonette, Squale roussette, Squale-roussette, morgay, Gobbag hooill, Gildan, Gildon kalbi, Macka bljedica, Rijanka, parda, Gattuccio, Attaredda, Cacciottiello, Cacciuni, Cacciuottolo, Cagnotiello, Cagnulu, Canicchie, Cattuzzu, Cazzuni, Gata, Gata de Quarnero, Gattaccio minore, Gattaiellu, Gattareddu, Gattina, Gattocele, Gattod, Gattodde, Gattu di mari, Gattuccia, Gattucciu, Gattuso, Gatuso, Gatuzzu, Jadduzzu, Jattupaddu, Jattupardu, Liabarda, Pardolle, Pesce cagnolo, Pinto-rousso, Rosetta minore, Salamine, gattucio, Gattarell, Gattarell tat-tikek, Hondshaai, Zeehond, Rekinek psi, rekinek, pataroxa, Pata-roxa, Pintarroxa, morskoi kot, Koshachya akula, Obyknovennaya koshach'ya akula, morgay, Mace-deti, Mice-deti, mace deti, mica e detit, mice me pika, Macka bjelica, Macka, Morska macka, Kedi baligi, Dislikedi baligi, Kedib, Skylaki, kedi, Koshacha akula","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",161399,"http://www.iucnredlist.org/details/classify/161399/0","http://www.iucnredlist.org/pdflink.161399","http://www.fishbase.org/summary/Scyliorhinus-canicula.html",845,"demersal",62.37,"Low"
"Scyliorhinus capensis","Geelspikkel-kathaai, yellowspotted catshark, Dogfish, Lazy shark, Spotted lazyshark, White-spotted dogfish, Yellow-spotted cat shark, Kapinpunahai, Geelgestippelde kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","NT",39349,"http://www.iucnredlist.org/details/classify/39349/0","http://www.iucnredlist.org/pdflink.39349","http://www.fishbase.org/summary/Scyliorhinus-capensis.html",846,"demersal",70.14,"Very low"
"Scyliorhinus cervigoni","West African cat shark, Nurse hound, west african catshark, Roussette thalassa, West-afrikaanse kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",60234,"http://www.iucnredlist.org/details/classify/60234/0","http://www.iucnredlist.org/pdflink.60234","http://www.fishbase.org/summary/Scyliorhinus-cervigoni.html",847,"demersal",56.77,"Very low"
"Scyliorhinus comoroensis","Comoro cat shark, Comoro catshark, Komorenkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161429,"http://www.iucnredlist.org/details/classify/161429/0","http://www.iucnredlist.org/pdflink.161429","http://www.fishbase.org/summary/Scyliorhinus-comoroensis.html",53996,"bathydemersal",63.75,"Low"
"Scyliorhinus garmani","Brown-spotted cat shark, brownspotted catshark, Bruinvlekkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161458,"http://www.iucnredlist.org/details/classify/161458/0","http://www.iucnredlist.org/pdflink.161458","http://www.fishbase.org/summary/Scyliorhinus-garmani.html",848,"benthopelagic",34.13,"Low"
"Scyliorhinus haeckelii","Freckled cat shark, freckled catshark, lija, Roussette taches de son, Sproetige kathaai, Gata, Pintadinho, Pinto","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44589,"http://www.iucnredlist.org/details/classify/44589/0","http://www.iucnredlist.org/pdflink.44589","http://www.fishbase.org/summary/Scyliorhinus-haeckelii.html",849,"demersal",50.14,"Very low"
"Scyliorhinus hesperius","White-saddled cat shark, whitesaddled catshark, Roussette selle blanche, Witzadelkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44590,"http://www.iucnredlist.org/details/classify/44590/0","http://www.iucnredlist.org/pdflink.44590","http://www.fishbase.org/summary/Scyliorhinus-hesperius.html",851,"bathydemersal",45.67,"Very low"
