"PolygonID","MRGID","GeoName","MRGID_Ter1","Territory1","Sovereign1","ISO_Ter1","Area_km2","Nospecies","CR","EN","VU","rest"
189,8328,"North Korean Exclusive Economic Zone",8601,"North Korea","North Korea","PRK",114165.514473,55,0,1,18,36
191,8331,"Cambodian Exclusive Economic Zone",2171,"Cambodia","Cambodia","KHM",48697.2172266,85,3,6,30,46
192,8486,"Chinese Exclusive Economic Zone",8603,"China","China","CHN",963547.862843,180,3,9,37,131
193,5675,"Estonian Exclusive Economic Zone",2110,"Estonia","Estonia","EST",36442.3364254,2,0,0,2,0
194,5676,"Finnish Exclusive Economic Zone",2106,"Finland","Finland","FIN",81003.6348989,2,0,0,2,0
195,5694,"Swedish Exclusive Economic Zone",2180,"Sweden","Sweden","SWE",155951.836705,21,1,1,7,12
196,5684,"Lithuanian Exclusive Economic Zone",2156,"Lithuania","Lithuania","LTU",6830.53928988,2,0,0,2,0
197,48977,"Joint regime area Sweden / Norway",2252,"Norway","Norway","NOR",139.943003003,0,0,0,0,0
198,3293,"Belgian Exclusive Economic Zone",14,"Belgium","Belgium","BEL",3491.7011964,27,1,0,8,18
199,5668,"Dutch Exclusive Economic Zone",15,"Netherlands","Netherlands","NLD",64444.3368919,27,1,0,7,19
200,5669,"German Exclusive Economic Zone",2101,"Germany","Germany","DEU",56597.6543338,25,1,0,6,18
201,5674,"Danish Exclusive Economic Zone",2157,"Denmark","Denmark","DNK",104884.788693,27,1,0,7,19
202,5683,"Latvian Exclusive Economic Zone",2132,"Latvia","Latvia","LVA",28355.9762185,2,0,0,2,0
203,8455,"New Zealand Exclusive Economic Zone",2227,"New Zealand","New Zealand","NZL",4104579.03432,92,0,1,15,76
204,8399,"Bouvet Exclusive Economic Zone",8634,"Bouvet","Norway","BVT",441841.102452,1,0,0,1,0
207,8442,"Jarvis Island Exclusive Economic Zone",8668,"Jarvis Island","United States","UMI",323173.119683,20,0,0,10,10
209,8489,"Antarctic 200NM zone beyond the coastline",1926,"Antarctica","Antarctica","ATA",9618928.14224,5,0,0,2,3
210,8326,"Tuvaluan Exclusive Economic Zone",2210,"Tuvalu","Tuvalu","TUV",753126.434715,27,0,1,12,14
211,8454,"Wallis and Futuna Exclusive Economic Zone",8680,"Wallis and Futuna","France","WLF",262750.561412,21,0,0,10,11
212,8451,"Howland and Baker Islands Exclusive Economic Zone",48684,"Howland and Baker islands","United States","UMI",434885.338532,20,0,0,10,10
213,8325,"Fijian Exclusive Economic Zone",2108,"Fiji","Fiji","FJI",1283243.50985,25,0,0,11,14
214,8337,"Seychellois Exclusive Economic Zone",2192,"Seychelles","Seychelles","SYC",1341497.0288,49,1,1,18,29
215,8398,"Equatorial Guinean Exclusive Economic Zone",2112,"Equatorial Guinea","Equatorial Guinea","GNQ",304131.929643,91,4,7,21,59
216,8345,"Maldives Exclusive Economic Zone",2229,"Maldives","Maldives","MDV",925222.836017,43,1,3,19,20
217,8324,"Papua New Guinean Exclusive Economic Zone",2237,"Papua New Guinea","Papua New Guinea","PNG",2399610.72138,101,4,6,30,61
218,8350,"Somali Exclusive Economic Zone",2187,"Federal Republic of Somalia","Federal Republic of Somalia","SOM",781835.626833,76,2,3,22,49
219,8317,"Nauruan Exclusive Economic Zone",8596,"Nauru","Nauru","NRU",309260.512828,21,0,0,10,11
220,8492,"Indonesian Exclusive Economic Zone",2127,"Indonesia","Indonesia","IDN",6025109.71458,194,4,12,52,126
222,48978,"Joint regime area United States / Russia",2204,"United States","United States","USA",8462.82034165,12,0,0,1,11
224,5677,"French Exclusive Economic Zone",17,"France","France","FRA",344795.437503,97,3,8,21,65
225,8378,"Algerian Exclusive Economic Zone",2152,"Algeria","Algeria","DZA",131184.423485,70,4,9,19,38
226,8400,"Ghanaian Exclusive Economic Zone",2100,"Ghana","Ghana","GHA",227218.059083,87,4,7,19,57
227,8438,"Greenlandic Exclusive Economic Zone",2260,"Greenland","Denmark","GRL",2270601.239,20,0,0,3,17
228,5696,"United Kingdom Exclusive Economic Zone",2208,"United Kingdom","United Kingdom","GBR",732922.625801,73,1,3,13,56
229,8453,"United States Exclusive Economic Zone (Hawaii)",8679,"Hawaii","United States","USA",2474713.60519,49,0,1,15,33
230,33181,"Svalvard Exclusive Economic Zone",5334,"Svalbard","Norway","SJM",796621.045326,5,0,0,2,3
231,5686,"Norwegian Exclusive Economic Zone",2252,"Norway","Norway","NOR",933667.554218,34,1,1,8,24
232,5690,"Russian Exclusive economic Zone",2240,"Russia","Russia","RUS",7734475.08159,56,0,0,12,44
233,5673,"Croatian Exclusive Economic Zone",2160,"Croatia","Croatia","HRV",55428.4849722,50,2,7,16,25
235,5682,"Italian Exclusive Economic Zone",2133,"Italy","Italy","ITA",536727.544683,70,4,9,19,38
236,5695,"Disputed area Ukrainian Exclusive Economic Zone",2196,"Ukraine","Ukraine","UKR",136252.734661,3,0,0,1,2
237,5689,"Romanian Exclusive economic Zone",2241,"Romania","Romania","ROU",29604.783396,3,0,0,1,2
238,8487,"Japanese Exclusive Economic Zone",2121,"Japan","Japan","JPN",4043057.35049,212,0,5,37,170
239,48950,"Disputed area Kuril Islands: Japan / Russia",2121,"Japan","Japan","JPN",213385.537199,35,0,0,6,29
240,8437,"Jan Mayen Exclusive Economic Zone",5343,"Jan Mayen","Norway","SJM",291637.563172,3,0,0,1,2
241,8333,"Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",8605,"Andaman and Nicobar","India","IND",664340.490167,53,2,3,20,28
242,8359,"Pakistani Exclusive Economic Zone",2250,"Pakistan","Pakistan","PAK",224387.832462,80,4,4,26,46
243,26523,"Turkmen Exclusive Economic Zone",2212,"Turkmenistan","Turkmenistan","TKM",61222.8609384,0,0,0,0,0
244,26524,"Azerbaijanis Exclusive Economic Zone",2134,"Azerbaijan","Azerbaijan","AZE",80576.1964994,0,0,0,0,0
245,26522,"Kazakh Exclusive Economic Zone",2119,"Kazakhstan","Kazakhstan","KAZ",114381.001862,0,0,0,0,0
246,8493,"Canadian Exclusive Economic Zone",2169,"Canada","Canada","CAN",5769849.28296,64,0,4,14,46
247,8482,"Myanmar Exclusive Economic Zone",2219,"Myanmar","Myanmar","MMR",497442.180134,93,5,5,31,52
248,8449,"Tokelau Exclusive Economic Zone",8675,"Tokelau","New Zealand","TKL",320617.268168,20,0,0,10,10
249,48945,"Disputed area Glorioso Islands: France / Madagascar",7963,"Madagascar","Madagascar","MDG",43559.8317675,39,0,1,12,26
