"ScientificName","FBname","order_name","family_nam","DemersPelag","code","Vulnerability","Resilience","Length","LongevityWild","web_redlist","web_fishbase","CommonName","MarkRecapt_tags","MarkRecapt_mean","MarkRecapt_sd","passive_tags","passive_mean","passive_sd","satellite_tags","satellite_mean","satellite_sd"
"Chiloscyllium punctatum","Brownbanded bambooshark","Orectolobiformes","Hemiscylliidae","reef-associated","NT",52.64,"Low",121,NA,"http://www.iucnredlist.org/details/classify/41872/0","http://www.fishbase.org/summary/Chiloscyllium-punctatum.html","Brownbanded bamboo shark, Brown spotted cat shark, Brown-banded bamboo shark, Brown-banded bambooshark, Brown-banded catshark, Brown-spotted bambooshark, Brown-spotted catshark, Brownbanded catshark, Grey carpet shark, Grey carpetshark, Spotted catshark, brownbanded bambooshark, brownspotted catshark, Bamboa estriada, Gorbeh-kooseh-e-lakkedar, Pistebambuhai, Pistepartahai, Chiloscyllium punctatum, Requin-chabot bambou, Inu zame, Inuzame, Cucut dolok, Chkuot, Chlarm, Yu-cicak insang putih, Hiu bodoh, Kau suar, Mungsing hiu, Yu bodoh, Yu cicak, Yu punai, Yu tokeh, Yu toleh, Bruinband bamboehaai, Bruinegebande bamboehaai, Chalarm Gob, Pating",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera argiloba","Whitefin chimarea","Chimaeriformes","Chimaeridae","bathydemersal","LC",52.39,"Medium",91.2,NA,"http://www.iucnredlist.org/details/classify/195427/0","http://www.fishbase.org/summary/Chimaera-argiloba.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera bahamaensis","Bahamas ghost shark","Chimaeriformes","Chimaeridae","bathydemersal","DD",52.07,"Medium",NA,NA,"http://www.iucnredlist.org/details/classify/195428/0","http://www.fishbase.org/summary/Chimaera-bahamaensis.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera cubana","Chimaera","Chimaeriformes","Chimaeridae","bathydemersal","DD",48.6,"Low",75,NA,"http://www.iucnredlist.org/details/classify/60183/0","http://www.fishbase.org/summary/Chimaera-cubana.html","Chimaera, Conejo de lo alto, Cuban chimaera, Cuban ratfish, Elephantfish, Quimera, Mariposa, Quimera cubano, Kubansk havsmus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera fulva","Southern chimaera","Chimaeriformes","Chimaeridae","bathydemersal","LC",61.2,"Low",100,NA,"http://www.iucnredlist.org/details/classify/195429/0","http://www.fishbase.org/summary/Chimaera-fulva.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera jordani",NA,"Chimaeriformes","Chimaeridae","bathydemersal","DD",50.77,"Low",64,NA,"http://www.iucnredlist.org/details/classify/60184/0","http://www.fishbase.org/summary/Chimaera-jordani.html","Jordans chimaera, Jordan-ginzame",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera lignaria","Carpenter's chimaera","Chimaeriformes","Chimaeridae","bathydemersal","LC",70.53,"Low",142,NA,"http://www.iucnredlist.org/details/classify/60185/0","http://www.fishbase.org/summary/Chimaera-lignaria.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera macrospina","Longspine chimaera","Chimaeriformes","Chimaeridae","bathydemersal","LC",55.8,"Low",93.9,NA,"http://www.iucnredlist.org/details/classify/195430/0","http://www.fishbase.org/summary/Chimaera-macrospina.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera monstrosa","Rabbit fish","Chimaeriformes","Chimaeridae","bathydemersal","NT",73.86,"Low",150,NA,"http://www.iucnredlist.org/details/classify/63114/0","http://www.fishbase.org/summary/Chimaera-monstrosa.html","Chimaera, Arnab, razh, Quimera, havmus, Meerkatze, Seekatze, Seeratte, Chimera, Himera, Ghost shark, Cat, Chimaera, King of the herring, Rabbit fish, Rabbit fish(Rat-tail, Rabbit-fish, Rabbitfish, Rat fish, Ratfish, Sea rat, rattail, Quimera, Borrico, Escopeta, Gata moixa, Gato, Gato de mar, Guinea, Sillikuningas, Cat, Lapin, Masca, Masco, Monstrueuse, Peis fera, Rat de mer, Roi des harengs, Singe de mer, roi de harengs, Geirnyt, Chimaera monstrosa, Chimera, Chimera mostruosa, Gatta di mare, Pisci jatta, Re di aringhe, Ginzame, Far tal-bahar, Fenek tal-bahar, Gurdien tal-bahar, havmus, Chimera a. przeraza, Gato, Quimera, Ratazana, Evropeiskaya khimera, Kokenjersorja, peshku lepur, Himera, Havsmus, Lapin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera notafricana","Cape chimaera","Chimaeriformes","Chimaeridae","bathydemersal","LC",52.9,"Medium",83.7,NA,"http://www.iucnredlist.org/details/classify/195431/0","http://www.fishbase.org/summary/Chimaera-notafricana.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera obscura","Shortspine chimaera","Chimaeriformes","Chimaeridae","bathydemersal","DD",53.41,"Medium",NA,NA,"http://www.iucnredlist.org/details/classify/195432/0","http://www.fishbase.org/summary/Chimaera-obscura.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera owstoni",NA,"Chimaeriformes","Chimaeridae","bathydemersal","DD",72.1,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/60186/0","http://www.fishbase.org/summary/Chimaera-owstoni.html","Owstons chimaera, Shirobuchi-ginzame",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera panthera",NA,"Chimaeriformes","Chimaeridae","bathydemersal","DD",67.51,"Low",129,NA,"http://www.iucnredlist.org/details/classify/41793/0","http://www.fishbase.org/summary/Chimaera-panthera.html","Leopard chimaera, Pantterisillikuningas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimaera phantasma","Silver chimaera","Chimaeriformes","Chimaeridae","bathydemersal","DD",54.77,"Low",100,NA,"http://www.iucnredlist.org/details/classify/60187/0","http://www.fishbase.org/summary/Chimaera-phantasma.html","Silver chimaera, Chimaera, Ghost shark, Ginzame, Un-sang-o, Kimera perak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chlamydoselachus anguineus","Frilled shark","Hexanchiformes","Chlamydoselachidae","bathydemersal","NT",81.92,"Very low",200,NA,"http://www.iucnredlist.org/details/classify/41794/0","http://www.fishbase.org/summary/Chlamydoselachus-anguineus.html","Frilletjieshaai, Kravehaj, Kragenhai, Krausenhai, Schlangenhai, Frilled Shark, Frill-gilled shark, Greenland shark, Lizard shark, Scaffold shark, Silk shark, frill shark, Kaulushai, Requin lezard, Squalo serpente, Rabuka, gyvatryklis, Kragehai, Franjehaai, Kragehai, Kravehai, Chlamida, Cobra, Tubarao",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirrhigaleus asper","Roughskin spurdog","Squaliformes","Squalidae","bathydemersal","DD",71.89,"Low",120,NA,"http://www.iucnredlist.org/details/classify/60209/0","http://www.fishbase.org/summary/Cirrhigaleus-asper.html","Ruwevel-penhaai, Ostroun Roughskin, Ruskindet pighaj, Roughskin dogfish, Roughskin spiny dogfish, roughskin dogshark, roughskin spurdog, Galludo raspa, Ruwe doornhaai, Quelme rugoso",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirrhigaleus australis","Southern Mandarin Dogfish","Squaliformes","Squalidae","pelagic-oceanic","DD",72.92,"Very low",NA,NA,"http://www.iucnredlist.org/details/classify/161321/0","http://www.fishbase.org/summary/Cirrhigaleus-australis.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirrhigaleus barbifer","Mandarin dogfish","Squaliformes","Squalidae","bathydemersal","DD",73.51,"Low",126,NA,"http://www.iucnredlist.org/details/classify/41795/0","http://www.fishbase.org/summary/Cirrhigaleus-barbifer.html","Mandarinpighaj, Mandarin dogfish, Mandarin shark, Tollo mandarin, Squale moustache, Higetsunozame, Mandarijndoornhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirrhoscyllium expolitum","Barbelthroat carpetshark","Orectolobiformes","Parascylliidae","demersal","DD",25.86,"Low",34,NA,"http://www.iucnredlist.org/details/classify/161351/0","http://www.fishbase.org/summary/Cirrhoscyllium-expolitum.html","barbelthroat carpet shark, barbelthroat carpetshark, Alfombrera barbuda, Higezame, Voeldraadzadeltapijthaai, Pating",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirrhoscyllium formosanum","Taiwan saddled carpetshark","Orectolobiformes","Parascylliidae","demersal","DD",20.46,"Low",39,NA,"http://www.iucnredlist.org/details/classify/161679/0","http://www.fishbase.org/summary/Cirrhoscyllium-formosanum.html","Taiwan saddled carpetshark, Taiwan saddled carpet shark, Alfombrera de Taiwan, Taiwaninmattohai, Requin carpette chin, Requin-carpette chin, Taiwanese zadeltapijthaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirrhoscyllium japonicum","Saddle carpetshark","Orectolobiformes","Parascylliidae","demersal","DD",39.36,"Low",48.5,NA,"http://www.iucnredlist.org/details/classify/161606/0","http://www.fishbase.org/summary/Cirrhoscyllium-japonicum.html","Saddled carpet shark, Saddled catshark, saddle carpetshark, Alfombrera japonesa, Satulamattohai, Requin carpette chat, Requin-carpette chat, Higezame, Kurakakezame, kurakake-zame, Japanse zadeltapijthaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassinarke dormitor","Sleeper torpedo","Rajiformes","Narkidae","demersal","DD",23.81,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/161326/0","http://www.fishbase.org/summary/Crassinarke-dormitor.html","Sleeper torpedo, Nemuri-shibire-ei, Plompe sluimerrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cruriraja andamanica","Andaman leg skate","Rajiformes","Anacanthobatidae","bathydemersal","DD",46.84,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/161710/0","http://www.fishbase.org/summary/Cruriraja-andamanica.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cruriraja atlantis","Cuban legskate","Rajiformes","Anacanthobatidae","bathydemersal","DD",46.84,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/161712/0","http://www.fishbase.org/summary/Cruriraja-atlantis.html","Atlantisk lemmerokke, Cuban legskate, Atlantic leg skate, Atlantic legskate, Cuban limbedskate, Atlantische pootrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cruriraja cadenati","Broadfoot leg skate","Rajiformes","Anacanthobatidae","bathydemersal","DD",46.84,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/161374/0","http://www.fishbase.org/summary/Cruriraja-cadenati.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cruriraja durbanensis","Smoothnose legskate","Rajiformes","Anacanthobatidae","bathydemersal","DD",28.87,"Low",23,NA,"http://www.iucnredlist.org/details/classify/161341/0","http://www.fishbase.org/summary/Cruriraja-durbanensis.html","Glatsnudet lemmerokke, Smoothnose legskate, Smooth nose leg skate, Zachtsnuitpootrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cruriraja poeyi","Cuban leg skate","Rajiformes","Anacanthobatidae","bathydemersal","DD",30.05,"Low",32.8,NA,"http://www.iucnredlist.org/details/classify/161711/0","http://www.fishbase.org/summary/Cruriraja-poeyi.html","Cubansk lemmerokke, Cuban legskate, Cuban leg skate, Poey's limbedskate, Cubaanse pootrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cruriraja rugosa","Rough leg skate","Rajiformes","Anacanthobatidae","bathydemersal","DD",46.84,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/161682/0","http://www.fishbase.org/summary/Cruriraja-rugosa.html","Ru lemmerokke, Rough leg skate, Rough legskate, Ruwe pootrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenacis fehlmanni","Harlequin catshark","Carcharhiniformes","Proscylliidae","demersal","DD",40.72,"Very low",NA,NA,"http://www.iucnredlist.org/details/classify/161499/0","http://www.fishbase.org/summary/Ctenacis-fehlmanni.html","Harlequin cat shark, Herlequin catshark, harlequin catshark, Harlekiininauhahai, Requin chat arlequin, Requin-chat arlequin, Harlekijnrugvinkathaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dactylobatus armatus","Skilletskate","Rajiformes","Rajidae","bathydemersal","DD",29.62,"Low",32,NA,"http://www.iucnredlist.org/details/classify/161556/0","http://www.fishbase.org/summary/Dactylobatus-armatus.html","Skilletskate, Armed fingerskate, Koekenpanrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dactylobatus clarkii","Hookskate","Rajiformes","Rajidae","bathydemersal","DD",29.78,"Low",59,NA,"http://www.iucnredlist.org/details/classify/161331/0","http://www.fishbase.org/summary/Dactylobatus-clarkii.html","Hookskate, Clark's fingerskate, Shiromon-kasube",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalatias licha","Kitefin shark","Squaliformes","Dalatiidae","bathydemersal","NT",80.94,"Low",182,NA,"http://www.iucnredlist.org/details/classify/6229/0","http://www.fishbase.org/summary/Dalatias-licha.html","Robhaai, Kalb, Negret xato, Sagrinu neru, morgi gweflog, Chokoladehaj, Darkie charlie, Dunkler Hai, Schokoladenhai, Skylopsaro, Skymnoskylopsaro, kitefin shark, Black shark, Darkie charlie, Kitefm Shark, Seal shark, lija, Carocho, Gata, Gata tramolla, Lija negra, Negrita, Leijahai, Squale liche, Gatte, Liche, Simnus, Drkovna, Zigrino, Cani monicu, Diavolo, Diavulu di funnu, Naire, Neigra, Paddottula, Stire verde, Zegrine, Zigrino negro, Yoroizame, Hiu beurit, Murruna sewda, Zwarte haai, Valse doornhaai, chocoladehaai, Liksa, Gato, Carocho, Gata, Gata-lixa, Lixa de pau, Lixa-de pau, Lixa-de-pau, Negra, Pailona, Peixelim, Trabolha, Peshkagen, Drkovina, Pas mrkalj, Chokladhaj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis acutirostra",NA,"Rajiformes","Dasyatidae","demersal","NT",90,"Low",10.61,NA,"http://www.iucnredlist.org/details/classify/60147/0","http://www.fishbase.org/summary/Dasyatis-acutirostra.html","Sharpnose stingray, Yajiri-ei, Scherpsnuitpijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis akajei","Whip stingray","Rajiformes","Dasyatidae","demersal","NT",73.67,"Low",200,NA,"http://www.iucnredlist.org/details/classify/60148/0","http://www.fishbase.org/summary/Dasyatis-akajei.html","Stillehavspilrokke, Pigrokke, Pilrokke, Stechrochen, Peitschenrochen, Red stingray, Estuary stingaree, Estuary stingray, Japanese red stingray, Japanese stingray, Red skate, Whip ray, Whip stingray, Whipray, Yellow stingray, brown stingray, Pastinaca, Pastenague du Pacifique, Trigono, Pastinaca, Aka ei, Aka-ei, No-rang-ga-o-ri, Pari merah, Pari, Rode pijlstaartrog, Pilskate, Pilrokke, Ogoncza japonska, Krasnyi khostokol, Volina, Siba zutulja, Stingrocka, Shllahaus-spjutrocha, Stillahavs-spjutrocka, Ignelivatoz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis americana","Southern stingray","Rajiformes","Dasyatidae","reef-associated","DD",90,"Very low",200,NA,"http://www.iucnredlist.org/details/classify/60149/0","http://www.fishbase.org/summary/Dasyatis-americana.html","Pigrokke, Pilrokke, Vestatlantisk pigrokke, Amerikanischer Stachelrochen, Amerikanischer Stechrochen, Peitschenrochen, Stechrochen, stingaree, Kit, Stingray, Whip stingray, southern atlantic stingray, southern stingray, Pastinaca, Raya, Raya americana, Raya chucho, Raya verde, rayalatigo americana, Pastinaca, Trigono, Amerika-aka-ei, Stekelrog, Amerikaanse pijlstaartrog, Pijlstaartrog, Pilskate, Pilrokke, Ogoncza amerykanska, Arraia, Raia-cravadora, Raia-lixa, Raia-prego, Kit, Volina, Siba zutulja, Stingrocka, Ignelivatoz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis bennetti",NA,"Rajiformes","Dasyatidae",NA,"DD",NA,NA,NA,NA,"http://www.iucnredlist.org/details/classify/161533/0","http://www.fishbase.org/summary/Dasyatis-bennetti.html","Bennetts pigrokke, Yellow stingray, Bennett's cowtail, Bennett's stingray, Frilltailed stingray, Pow-e-gazandeh, Onaga-ei, Kraagstaartpijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis brevicaudata","Short-tail stingray","Rajiformes","Dasyatidae","demersal","LC",87.45,"Very low",430,NA,"http://www.iucnredlist.org/details/classify/41796/0","http://www.fishbase.org/summary/Dasyatis-brevicaudata.html","Kortstert-pylstert, Pigrokke, Pilrokke, Peitschenrochen, Stechrochen, Short-tail stingray, Giant black ray, Giant stingray, New Zealand short-tail stingaree, Schreiners ray, Short-tailed black ray, Short-tailed stingaree, Short-tailed stingray, Shorttail black stingray, Shorttail stingray, Smooth short-tailed stingray, Smooth stingray, Stingray, Pastinaca, Pastinaca, Trigono, Oru, Paakaurua, Roha, Whai, Whai repo, Gladde pijlstaartrog, Pilskate, Pilrokke, Uge cauda-curta, Volina, Siba zutulja, Stingrocka, Ignelivatoz",NA,NA,NA,7,188.6584355,262.1814664,NA,NA,NA
"Dasyatis centroura","Roughtail stingray","Rajiformes","Dasyatidae","demersal","LC",80.94,"Very low",300,NA,"http://www.iucnredlist.org/details/classify/63152/0","http://www.fishbase.org/summary/Dasyatis-centroura.html","Ferazza, Ruhalet pigrokke, Ruhalet Pilrokke, Stechrochen, Dornenschwanz-Stechrochen, Rauschwanz-Stechrochen, Akanthotrygona, Rough-tailed stingray, Rough-tailed, Rough-tailed northern stingray, clam cracker, roughtail stingray, stingaree, Chucho, sinj, Trigone spinoso, Trigone, Boll, Boll denbu ahrax, Gestekelde pijlstaartrog, Ogoncza zachodnia, Arraia, Arraia-prego, Raia-manteiga, Raia-prego, Uge de cardas, Uge-de-cardas, Uja, Uje-de-cardas, Neshtelie, neshtelije, Taggspjutrocka, Denizkedisi baligi, Ignelivatoz baligi, Rina baligi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis chrysonota","Blue stingray","Rajiformes","Dasyatidae","demersal","LC",70.12,"Low",75,NA,"http://www.iucnredlist.org/details/classify/161643/0","http://www.fishbase.org/summary/Dasyatis-chrysonota.html","Blou pylstert, Marbled stingray, Blue stingray, South African blue stingray, Sting ray, Chucho, Pastenague bleue sud-africaine, Gemarmerde pijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis colarensis",NA,"Rajiformes","Dasyatidae","pelagic-neritic","VU",71.67,"Very low",207,NA,"http://www.iucnredlist.org/details/classify/60151/0","http://www.fishbase.org/summary/Dasyatis-colarensis.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis dipterura","Diamond stingray","Rajiformes","Dasyatidae","demersal","DD",74.63,"Low",122,NA,"http://www.iucnredlist.org/details/classify/60152/0","http://www.fishbase.org/summary/Dasyatis-dipterura.html","Diamantpigrokke, Rat-tailed stingray, Diamond stingray, Hawaiian stingray, Stingray, Batana, Batea, Manta raya, Raya diamante, Raya lodera, Hihimanu, Lupe, Ogoncza diamentowa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis fluviorum","Estuary stingray","Rajiformes","Dasyatidae","benthopelagic","VU",57.67,"Low",130,NA,"http://www.iucnredlist.org/details/classify/41797/0","http://www.fishbase.org/summary/Dasyatis-fluviorum.html","Estuary stingray, Estuary stingaree, River stingray, brown stingray, Pari, Pari muara, Estuariumpijlstaartrog, Kraban Hin",NA,NA,NA,14,3.694342736,1.037109282,NA,NA,NA
"Dasyatis garouaensis","Smooth freshwater stingray","Rajiformes","Dasyatidae","demersal","VU",90,"Very low",40,NA,"http://www.iucnredlist.org/details/classify/39406/0","http://www.fishbase.org/summary/Dasyatis-garouaensis.html","Ray, Niger stingray, Smooth freshwater stingray, Kunaman ruwa, Kounama rwa, Gladde zoetwaterpijlstaartrog, Alate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis geijskesi","Sharpsnout stingray","Rajiformes","Dasyatidae","demersal","NT",90,"Low",150,NA,"http://www.iucnredlist.org/details/classify/60153/0","http://www.fishbase.org/summary/Dasyatis-geijskesi.html","Sharpsnout stingray, Stingray, Wingfin stingray, Tengu-aka-ei, Stekelrog, Vleugelvinpijlstaartrog, Raia, Arraia, Arraia-morcego, Raia-bicuda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis gigantea","Giant stumptail stingray","Rajiformes","Dasyatidae","demersal","DD",90,"Low",178,NA,"http://www.iucnredlist.org/details/classify/161503/0","http://www.fishbase.org/summary/Dasyatis-gigantea.html","Stor stumphalet pigrokke, Giant stumptail stingray, Reuzenpijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis guttata","Longnose stingray","Rajiformes","Dasyatidae","demersal","DD",90,"Low",200,NA,"http://www.iucnredlist.org/details/classify/44592/0","http://www.fishbase.org/summary/Dasyatis-guttata.html","Longnose stingray, Stingray, longnose sting ray, Raya, Hocicona, Raya blanca, Raya hocicona, Raya latigo hocicona, rayalatigo hocicona, Dasyatis guttata, Pastenague longnez, Zarazara-ei, Stekelrog, Langsnuitpijlstaartrog, Raia, Arraia, Arraia branca, Arraia-bico-de-remo, Arraia-bicuda, Arraia-lixa, Raia-branca, Raia-lixa, Raia-lixo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis hypostigma",NA,"Rajiformes","Dasyatidae","benthopelagic","DD",74.15,"Low",65,NA,"http://www.iucnredlist.org/details/classify/60154/0","http://www.fishbase.org/summary/Dasyatis-hypostigma.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis izuensis","Izu stingray","Rajiformes","Dasyatidae","demersal","NT",90,"Low",41.82,NA,"http://www.iucnredlist.org/details/classify/60155/0","http://www.fishbase.org/summary/Dasyatis-izuensis.html","Izu stingray, Izuhime-ei, Izupijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis laevigata","Yantai stingray","Rajiformes","Dasyatidae","demersal","NT",90,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/161618/0","http://www.fishbase.org/summary/Dasyatis-laevigata.html","Yantai stingray, Red stingray, Yantaipijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis lata","Brown stingray","Rajiformes","Dasyatidae","demersal","LC",66.88,"Low",100,NA,"http://www.iucnredlist.org/details/classify/161386/0","http://www.fishbase.org/summary/Dasyatis-lata.html","Brun pigrokke, brown stingray, Broad stingray, hihi-manu, Hihimanu, Lupe, Bruine pijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis longa","Longtail stingray","Rajiformes","Dasyatidae","reef-associated","DD",74.33,"Very low",260,NA,"http://www.iucnredlist.org/details/classify/60157/0","http://www.fishbase.org/summary/Dasyatis-longa.html","Langhalet pigrokke, Longtail stingray, Stingray, Raya, Manta raya, Raya de lo hondo, Pastenague queue longue, Langstaartpijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis margarita","Daisy stingray","Rajiformes","Dasyatidae","demersal","EN",66.88,"Low",100,NA,"http://www.iucnredlist.org/details/classify/161495/0","http://www.fishbase.org/summary/Dasyatis-margarita.html","Stechrochen, Tatra, Adadu, Whipray, Daisy stingray, Guinean stingray, Skeete, Stingray, Raie disque, Raie, pastenague marguerite, Margrietpijlstaartrog, Ogoncza perelkowa, Uje-margarida, Pisica de mare perlata, Ragntiaan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis margaritella","Pearl stingray","Rajiformes","Dasyatidae","demersal","DD",90,"Low",30,NA,"http://www.iucnredlist.org/details/classify/161520/0","http://www.fishbase.org/summary/Dasyatis-margaritella.html","Pearl stingray, Paarlemoerpijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis marianae",NA,"Rajiformes","Dasyatidae","demersal","DD",90,"Low",40,NA,"http://www.iucnredlist.org/details/classify/45925/0","http://www.fishbase.org/summary/Dasyatis-marianae.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis marmorata","Marbled stingray","Rajiformes","Dasyatidae","demersal","DD",28.28,"Very low",60,NA,"http://www.iucnredlist.org/details/classify/161748/0","http://www.fishbase.org/summary/Dasyatis-marmorata.html","Pylstert, Marmorierter Stechrocen, Marbled stingray, Stingray, Chucho, Irao rantan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis matsubarai","Pitted stingray","Rajiformes","Dasyatidae","demersal","DD",90,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/161671/0","http://www.fishbase.org/summary/Dasyatis-matsubarai.html","Trnucha Matsubara, Pitted stingray, Hoshi-ei, Pokdalige pijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis microps","Smalleye stingray","Rajiformes","Dasyatidae","demersal","DD",86.25,"Low",320,NA,"http://www.iucnredlist.org/details/classify/161582/0","http://www.fishbase.org/summary/Dasyatis-microps.html","Smalleye stingray, Annandale's stingray, Thickspine giant stingray, Dikstekelpijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis multispinosa","Multispine giant stingray","Rajiformes","Dasyatidae","bathydemersal","DD",90,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/165300/0","http://www.fishbase.org/summary/Dasyatis-multispinosa.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis navarrae","Blackish stingray","Rajiformes","Dasyatidae","demersal","DD",90,"Low",NA,NA,"http://www.iucnredlist.org/details/classify/161741/0","http://www.fishbase.org/summary/Dasyatis-navarrae.html","Blackish stingray, Blackfish stingray, Navarr's stingray, Zwartachtige pijlstaartrog",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis parvonigra","Dwarf black stingray","Rajiformes","Dasyatidae","benthopelagic","DD",90,NA,38.4,NA,"http://www.iucnredlist.org/details/classify/195442/0","http://www.fishbase.org/summary/Dasyatis-parvonigra.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
