"ScientificName","FBname","order_name","family_nam","DemersPelag","code","Vulnerability","Resilience","Length","LongevityWild","web_redlist","web_fishbase","CommonName","MarkRecapt_tags","MarkRecapt_mean","MarkRecapt_sd","passive_tags","passive_mean","passive_sd","satellite_tags","satellite_mean","satellite_sd"
"Mustelus albipinnis","Whitemargin smoothhound","Carcharhiniformes","Triakidae","benthopelagic","DD",60.99,"Low",109,NA,"http://www.iucnredlist.org/details/classify/161451/0","http://www.fishbase.org/summary/Mustelus-albipinnis.html","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus antarcticus","Gummy shark","Carcharhiniformes","Triakidae","demersal","LC",67.64,"Very low",157,16,"http://www.iucnredlist.org/details/classify/39355/0","http://www.fishbase.org/summary/Mustelus-antarcticus.html","Antarktisk glathaj, Gummihai, Australischer Glatthai, White-spotted gummy shark, Australian smooth hound, Flake, Gummy shark, Smooth dog-shark, Smooth hound dogfish, Spotted gummy shark, sweet william, Musola austral, Musola, Purukoirahai, Chien de mer antarctique, Palombo antartico, Hoshizame, Hoshibuka, Antarctische gladde haai, Australische toonhaai, Stomkophaai, Zuidelijke gladde haai, Gummihaj",404,109.6585367,215.0364376,66,37.52007841,215.3968044,NA,NA,NA
"Mustelus asterias","Starry smooth-hound","Carcharhiniformes","Triakidae","demersal","LC",69.95,"Very low",140,NA,"http://www.iucnredlist.org/details/classify/39357/0","http://www.fishbase.org/summary/Mustelus-asterias.html","Kalb, Kalb bhar, Katat, Kelb bhar, Kelb el bahar, Maniosa, Qarsh Mouraqqat, Wahsh, Mussola gravatja, Mussola pigallada, Nuciolu, Occhi blu, morgi llyfn, Glathaj, Plettet glathaj, Stjernehaj, Glatthai, Gefleckter Glatthai, Gefleckter Hundshai, Drossitis, Astrogaleos, Galeos, Tollo, Smooth-hound, Starry smooth hound, Starry smoothhound, Starry smoothound, Stellate smooth-hound, starry smooth-hound, Tollo, Boca blanca, Caella, Musola dentuda, Musola estrellada, Musola pintada, Tolla, Missole, An scoirneach ballach, Kerishon naqod, Krishon matsuy, Pena, Gluhak, Cane, Cagnassetto, Cagneto, Cagnoleto, Can bianco, Gattone, Mussola, Nicciolo, Nisseua, Nissoa, Nissola grisa, Nocciolo stellato, Palombo, Palombo nocciolo, Palombo stellato, Palomme, Palumbu, Palumme steddate, Palummo stelliate, Palummu 'mperiali, Palummu pintu, Palummu senza denti, Palummu stilliatu, Sbriglio, Stellotto, Stire, Mazzola, Mazzola bla xewka, Mazzola tat-tbajja, Gladde haai, Gevlekte gladde haai, Gevlekte toonhaai, Toonhaai, Hvitflekket glatthai, Glatthai, Caneja, Palomb, Pellumb me ylleza, Pas cukov, Pas pena, Nordlig hundhaj, Glatthaj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus californicus","Gray smoothhound","Carcharhiniformes","Triakidae","demersal","LC",54.75,"Very low",116,9,"http://www.iucnredlist.org/details/classify/161334/0","http://www.fishbase.org/summary/Mustelus-californicus.html","Grey smooth-hound, Gray smooth hound, Gray smooth-hound, Smoothhound, gray smoothhound, Musola gris, Musola gris de California, Kaliforniankoirahai, Mustelus californicus, Emissole grise, Grijze toonhaai, Californisk hundhaj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus canis","Dusky smooth-hound","Carcharhiniformes","Triakidae","demersal","NT",87.28,"Low",150,NA,"http://www.iucnredlist.org/details/classify/39359/0","http://www.fishbase.org/summary/Mustelus-canis.html","smooth dogfish, Boca dulce, smooth hound, smooth dog, smooth dogfish, Hundehaj, punktierter Glatthai, Glatthai, Agbloloe, Dusky Smoothhound, Atlantic smooth dogfish, Dogfish, Dusky smooth hound, Grayfish, Nurse shark, Smoothhound, dusky smooth-hound, smooth hound, Viuda dientuda, Boca blanca, Boca dulce, Caella, Gatuzo, Mozuela, Musola, Musola dentuda, Mustela, Palomo, Tolla, Viuda, Koirahai, Palloun, Chien de mer gris et roux, Emissole douce, Estella, Lale-akal, Inu-hoshizame, Donkere toonhaai, Hondshaai, Glatthai, Mustel psi, Tolo, Bico doce, Bodinho, Canejo, Sebastiao, Hundhaj, Glatthaj, Maan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus dorsalis","Sharptooth smooth-hound","Carcharhiniformes","Triakidae","demersal","DD",66.9,"Very low",64,NA,"http://www.iucnredlist.org/details/classify/44580/0","http://www.fishbase.org/summary/Mustelus-dorsalis.html","Skarptandet glathaj, Sharpnose smooth hound, Sharp-tooth smooth hound, Sharptooth smoot-hound, Smoothhound, Tollo, Vieja, sharptooth smooth-hound, sharptooth smoothhound, Tollo, Musola blanca, Piruche, Tollo blanco, Vieja, Mustelus dorsalis, Emissole blanche, Scherpsnuittoonhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus fasciatus","Striped smooth-hound","Carcharhiniformes","Triakidae","demersal","CR",75,"Very low",150,NA,"http://www.iucnredlist.org/details/classify/44581/0","http://www.fishbase.org/summary/Mustelus-fasciatus.html","Stribet glathaj, Striped smooth hound, Striped dogfish, striped smooth-hound, Musola, Gatuso, Gatuzo, Mustola listada, Raitakoirahai, Mustelus fasciatus, Gestreepte toonhaai, Canejo malhado",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus griseus","Spotless smooth-hound","Carcharhiniformes","Triakidae","demersal","DD",63.27,"Very low",87,9,"http://www.iucnredlist.org/details/classify/161715/0","http://www.fishbase.org/summary/Mustelus-griseus.html","Hui sha, Hui xing sha, Uplettet glathaj, Japanese gray smooth hound, Japan smoothhound, Spotless smooth hound, spotless smooth-hound, Musola gris, Mustelus griseus, Shirozame, Kae-sang-o, Egale toonhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus henlei","Brown smooth-hound","Carcharhiniformes","Triakidae","demersal","LC",58.4,"Low",100,13,"http://www.iucnredlist.org/details/classify/161648/0","http://www.fishbase.org/summary/Mustelus-henlei.html","Brun glathaj, Brown smooth-hound, Brown smooth hound, Smoothhound, brown smoothhound, Musola parda, Ruskokoirahai, Mustelus henlei, Emissole brune, Bruine toonhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus higmani","Smalleye smooth-hound","Carcharhiniformes","Triakidae","demersal","LC",49.19,"Very low",70,NA,"http://www.iucnredlist.org/details/classify/60204/0","http://www.fishbase.org/summary/Mustelus-higmani.html","Viuda, Smalleye smooth hound, Smalleye smoothhound, smalleye smooth-hound, Viuda, Musola amarilla, Mustelus higmani, Emissole ti-yeux, Emissole tiyeux, Kitsune-hoshizame, Kleinoogtoonhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
