"PolygonID","MRGID","GeoName","Pol_type","MRGID_Ter1","Territory1","MRGID_Sov1","Sovereign1","ISO_Ter1","MRGID_Ter2","Territory2","MRGID_Sov2","Sovereign2","ISO_Ter2","MRGID_Ter3","Territory3","MRGID_Sov3","Sovereign3","ISO_Ter3","x_1","y_1","Area_km2","MRGID_EEZ","Nospecies"
"178","8315","Palau Exclusive Economic Zone","200NM","8594","Palau","8594","Palau","PLW","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,133.067109938,6.44072082768,614805.248533,"8315",0
"179","8322","Philippines Exclusive Economic Zone","200NM","2245","Philippines","2245","Philippines","PHL","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,122.546805869,12.3401155141,1971039.86154,"8322",0
"180","48954","Disputed area Senkaku Islands: Japan / China / Taiwan","Disputed","2177","Taiwan","2177","Taiwan","TWN","2121","Japan","2121","Japan","JPN","8603","China","8603","China","CHN",124.122109181,26.5208027254,73777.0441761,"48954",0
"181","8485","Singaporean Exclusive Economic Zone","200NM","2190","Singapore","2190","Singapore","SGP","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,103.816427663,1.27428184632,721.555202966,"8485",0
"183","8332","Thailand Exclusive Economic Zone","200NM","2207","Thailand","2207","Thailand","THA","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,99.6286756622,9.16617314888,298685.971043,"8332",0
"184","8319","Wake Island Exclusive Economic Zone","200NM","8597","Wake Island","2204","United States","UMI","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,166.530457536,19.5032615321,407153.960988,"8319",0
"185","8484","Vietnamese Exclusive Economic Zone","200NM","2200","Vietnam","2200","Vietnam","VNM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,107.865630238,11.5549947852,750997.838971,"8484",0
"186","21796","Joint regime area Japan / Korea","Joint regime","8600","South Korea","8600","South Korea","KOR","2121","Japan","2121","Japan","JPN","0",NA,"0",NA,NA,127.578081731,30.8139587202,82702.3311195,"21796",0
"187","26521","Bruneian Exclusive Economic Zone","200NM","2145","Brunei","2145","Brunei","BRN","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,114.040513079,5.37283237294,43137.5920732,"26521",0
"188","8321","Taiwanese Exclusive Economic Zone","200NM","2177","Taiwan","2177","Taiwan","TWN","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,118.848425827,21.5385134976,355471.949988,"8321",0
"189","8328","North Korean Exclusive Economic Zone","200NM","8601","North Korea","8601","North Korea","PRK","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,128.987444629,39.8278792319,114165.514473,"8328",0
"191","8331","Cambodian Exclusive Economic Zone","200NM","2171","Cambodia","2171","Cambodia","KHM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,102.542280479,10.2254258282,48697.2172266,"8331",0
"192","8486","Chinese Exclusive Economic Zone","200NM","8603","China","8603","China","CHN","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,118.676418867,28.6766590494,963547.862843,"8486",0
"193","5675","Estonian Exclusive Economic Zone","200NM","2110","Estonia","2110","Estonia","EST","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,23.0023188331,58.7701196016,36442.3364254,"5675",0
"194","5676","Finnish Exclusive Economic Zone","200NM","2106","Finland","2106","Finland","FIN","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,21.88918562,61.7548366612,81003.6348989,"5676",0
"195","5694","Swedish Exclusive Economic Zone","200NM","2180","Sweden","2180","Sweden","SWE","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,18.1151682684,59.4854995664,155951.836705,"5694",0
"196","5684","Lithuanian Exclusive Economic Zone","200NM","2156","Lithuania","2156","Lithuania","LTU","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,20.3641170157,55.7552690241,6830.53928988,"5684",0
"197","48977","Joint regime area Sweden / Norway","Joint regime","2252","Norway","2252","Norway","NOR","2180","Sweden","2180","Sweden","SWE","0",NA,"0",NA,NA,10.5009537039,58.8099814814,139.943003003,"48977",0
"198","3293","Belgian Exclusive Economic Zone","200NM","14","Belgium","14","Belgium","BEL","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,2.70503854662,51.4654455537,3491.7011964,"3293",0
"199","5668","Dutch Exclusive Economic Zone","200NM","15","Netherlands","15","Netherlands","NLD","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,4.19290821239,53.6120313964,64444.3368919,"5668",0
"200","5669","German Exclusive Economic Zone","200NM","2101","Germany","2101","Germany","DEU","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,8.39967915655,54.5563583152,56597.6543338,"5669",0
"201","5674","Danish Exclusive Economic Zone","200NM","2157","Denmark","2157","Denmark","DNK","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,9.24983396528,56.1421317001,104884.788693,"5674",0
"202","5683","Latvian Exclusive Economic Zone","200NM","2132","Latvia","2132","Latvia","LVA","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,21.3519656539,57.1043333209,28355.9762185,"5683",0
"203","8455","New Zealand Exclusive Economic Zone","200NM","2227","New Zealand","2227","New Zealand","NZL","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,71.7216744348,-42.7656320827,4104579.03432,"8455",0
"204","8399","Bouvet Exclusive Economic Zone","200NM","8634","Bouvet","2252","Norway","BVT","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,3.35557324104,-54.4556346338,441841.102452,"8399",0
"207","8442","Jarvis Island Exclusive Economic Zone","200NM","8668","Jarvis Island","2204","United States","UMI","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-160.468385678,-0.913995273863,323173.119683,"8442",0
"209","8489","Antarctic 200NM zone beyond the coastline","200NM","1926","Antarctica","1926","Antarctica","ATA","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-10.9756939853,-71.1123381926,9618928.14224,"8489",0
"210","8326","Tuvaluan Exclusive Economic Zone","200NM","2210","Tuvalu","2210","Tuvalu","TUV","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,74.2878528352,-7.81254213691,753126.434715,"8326",0
"211","8454","Wallis and Futuna Exclusive Economic Zone","200NM","8680","Wallis and Futuna","17","France","WLF","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-172.775945776,-12.7966355295,262750.561412,"8454",0
"212","8451","Howland and Baker Islands Exclusive Economic Zone","200NM","48684","Howland and Baker islands","2204","United States","UMI","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-176.72726847,0.791304953123,434885.338532,"8451",0
"213","8325","Fijian Exclusive Economic Zone","200NM","2108","Fiji","2108","Fiji","FJI","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,94.9811669811,-17.9942361498,1283243.50985,"8325",0
"214","8337","Seychellois Exclusive Economic Zone","200NM","2192","Seychelles","2192","Seychelles","SYC","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,52.4687739034,-6.54782117364,1341497.0288,"8337",0
"215","8398","Equatorial Guinean Exclusive Economic Zone","200NM","2112","Equatorial Guinea","2112","Equatorial Guinea","GNQ","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,5.43745069906,-1.37183355987,304131.929643,"8398",0
"216","8345","Maldives Exclusive Economic Zone","200NM","2229","Maldives","2229","Maldives","MDV","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,73.0880145593,2.45483622223,925222.836017,"8345",0
"217","8324","Papua New Guinean Exclusive Economic Zone","200NM","2237","Papua New Guinea","2237","Papua New Guinea","PNG","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,150.717739785,-5.46159340329,2399610.72138,"8324",0
"218","8350","Somali Exclusive Economic Zone","200NM","2187","Federal Republic of Somalia","2187","Federal Republic of Somalia","SOM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,48.7178065692,5.38119709067,781835.626833,"8350",0
"219","8317","Nauruan Exclusive Economic Zone","200NM","8596","Nauru","8596","Nauru","NRU","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,166.123963816,-0.591130617199,309260.512828,"8317",0
"220","8492","Indonesian Exclusive Economic Zone","200NM","2127","Indonesia","2127","Indonesia","IDN","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,117.898147552,-3.30903479808,6025109.71458,"8492",0
"222","48978","Joint regime area United States / Russia","Joint regime","2204","United States","2204","United States","USA","2240","Russia","2240","Russia","RUS","0",NA,"0",NA,NA,-88.1419636799,66.9706170954,8462.82034165,"48978",0
"224","5677","French Exclusive Economic Zone","200NM","17","France","17","France","FRA","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-1.96612922953,46.0421241338,344795.437503,"5677",0
"225","8378","Algerian Exclusive Economic Zone","200NM","2152","Algeria","2152","Algeria","DZA","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,3.53979379733,37.2034369817,131184.423485,"8378",0
"226","8400","Ghanaian Exclusive Economic Zone","200NM","2100","Ghana","2100","Ghana","GHA","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-0.847226823817,3.50286659343,227218.059083,"8400",0
"227","8438","Greenlandic Exclusive Economic Zone","200NM","2260","Greenland","2157","Denmark","GRL","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-31.9709635324,75.4796502777,2270601.239,"8438",0
"228","5696","United Kingdom Exclusive Economic Zone","200NM","2208","United Kingdom","2208","United Kingdom","GBR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-4.25918474969,56.7469239933,732922.625801,"5696",0
"229","8453","United States Exclusive Economic Zone (Hawaii)","200NM","8679","Hawaii","2204","United States","USA","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-151.05752732,24.0409882574,2474713.60519,"8453",0
"230","33181","Svalvard Exclusive Economic Zone","200NM","5334","Svalbard","2252","Norway","SJM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,18.2890415813,78.7134022616,796621.045326,"33181",0
"231","5686","Norwegian Exclusive Economic Zone","200NM","2252","Norway","2252","Norway","NOR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,14.0571352197,68.188925744,933667.554218,"5686",0
"232","5690","Russian Exclusive economic Zone","200NM","2240","Russia","2240","Russia","RUS","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,93.5554082721,71.3259188065,7734475.08159,"5690",0
"233","5673","Croatian Exclusive Economic Zone","200NM","2160","Croatia","2160","Croatia","HRV","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,15.6515147267,43.4307960226,55428.4849722,"5673",0
"235","5682","Italian Exclusive Economic Zone","200NM","2133","Italy","2133","Italy","ITA","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,12.9279072597,39.6552300897,536727.544683,"5682",0
"236","5695","Disputed area Ukrainian Exclusive Economic Zone","Disputed","2196","Ukraine","2196","Ukraine","UKR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,33.6346521053,44.9519170891,136252.734661,"5695",0
"237","5689","Romanian Exclusive economic Zone","200NM","2241","Romania","2241","Romania","ROU","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,30.0839807205,44.2368041546,29604.783396,"5689",0
"238","8487","Japanese Exclusive Economic Zone","200NM","2121","Japan","2121","Japan","JPN","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,138.481815283,29.5117767836,4043057.35049,"8487",0
"239","48950","Disputed area Kuril Islands: Japan / Russia","Disputed","2121","Japan","2121","Japan","JPN","2240","Russia","2240","Russia","RUS","0",NA,"0",NA,NA,147.961539344,43.8860570245,213385.537199,"48950",0
"240","8437","Jan Mayen Exclusive Economic Zone","200NM","5343","Jan Mayen","2252","Norway","SJM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-5.25149856322,71.1141265973,291637.563172,"8437",0
"241","8333","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","200NM","8605","Andaman and Nicobar","2128","India","IND","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,92.1896665703,9.97738230194,664340.490167,"8333",0
"242","8359","Pakistani Exclusive Economic Zone","200NM","2250","Pakistan","2250","Pakistan","PAK","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,64.7122448427,23.5394045623,224387.832462,"8359",0
"243","26523","Turkmen Exclusive Economic Zone","200NM","2212","Turkmenistan","2212","Turkmenistan","TKM","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,52.8792283705,39.7805938052,61222.8609384,"26523",0
"244","26524","Azerbaijanis Exclusive Economic Zone","200NM","2134","Azerbaijan","2134","Azerbaijan","AZE","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,50.3317181634,40.2835047415,80576.1964994,"26524",0
"245","26522","Kazakh Exclusive Economic Zone","200NM","2119","Kazakhstan","2119","Kazakhstan","KAZ","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,51.0143954042,44.4744157339,114381.001862,"26522",0
"246","8493","Canadian Exclusive Economic Zone","200NM","2169","Canada","2169","Canada","CAN","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-90.3213368241,68.6613959329,5769849.28296,"8493",0
"247","8482","Myanmar Exclusive Economic Zone","200NM","2219","Myanmar","2219","Myanmar","MMR","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,94.655511075,14.9965421677,497442.180134,"8482",0
"248","8449","Tokelau Exclusive Economic Zone","200NM","8675","Tokelau","2227","New Zealand","TKL","0",NA,"0",NA,NA,"0",NA,"0",NA,NA,-172.084954608,-8.63257349086,320617.268168,"8449",0
"249","48945","Disputed area Glorioso Islands: France / Madagascar","Disputed","7963","Madagascar","7963","Madagascar","MDG","8607","Glorioso Islands","17","France","FRA","0",NA,"0",NA,NA,47.0961709991,-11.6185429823,43559.8317675,"48945",0
