"binomial","OBJECTID","Shape_Leng","Shape_Area","area","order_name","family_nam","code"
"Somniosus longus","933",110.663277086,42.1723189521,437106,"SQUALIFORMES","SOMNIOSIDAE","DD"
"Somniosus microcephalus","934",4718.26104574,1692.39488474,7108270,"SQUALIFORMES","SOMNIOSIDAE","NT"
"Somniosus pacificus","935",1738.77215827,897.164949038,6088540,"SQUALIFORMES","SOMNIOSIDAE","DD"
"Somniosus rostratus","936",379.470969854,192.532804158,1899450,"SQUALIFORMES","SOMNIOSIDAE","DD"
"Sphyrna corona","937",278.890739953,89.6246749148,1060050,"CARCHARHINIFORMES","SPHYRNIDAE","NT"
"Sphyrna lewini","938",5236.80476064,2327.98632946,27034200,"CARCHARHINIFORMES","SPHYRNIDAE","EN"
"Sphyrna media","939",681.720363267,221.633663437,2629320,"CARCHARHINIFORMES","SPHYRNIDAE","DD"
"Sphyrna mokarran","940",4631.15524987,1668.85508048,19440200,"CARCHARHINIFORMES","SPHYRNIDAE","EN"
"Sphyrna tiburo","941",1309.90137535,383.94506055,4405070,"CARCHARHINIFORMES","SPHYRNIDAE","LC"
"Sphyrna tudes","942",396.811989198,130.161411068,1524690,"CARCHARHINIFORMES","SPHYRNIDAE","VU"
"Sphyrna zygaena","943",3931.19077427,1375.67244011,14434100,"CARCHARHINIFORMES","SPHYRNIDAE","VU"
"Spiniraja whitleyi","944",199.391282864,73.6305729276,725103,"RAJIFORMES","RAJIDAE","VU"
"Squaliolus aliae","945",433.425398642,220.871044964,2522520,"SQUALIFORMES","DALATIIDAE","LC"
"Squaliolus laticaudus","946",248.129160451,97.832422429,1046140,"SQUALIFORMES","DALATIIDAE","LC"
"Squalus acanthias","947",6372.94198131,2044.25639663,16899100,"SQUALIFORMES","SQUALIDAE","VU"
"Squalus acutirostris","948",5.09560462677,2.06329078488,24038.3,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus albifrons","949",63.4033852871,27.6900352858,311094,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus altipinnis","950",23.4833631941,9.11466341942,107327,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus blainville","951",12.2233806348,4.69237288116,53743.3,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus brevirostris","952",332.838615676,120.416472285,1344430,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus bucephalus","953",59.5082229159,27.9965483284,321788,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus chloroculus","954",81.3587904566,37.0174183995,355635,"SQUALIFORMES","SQUALIDAE","NT"
"Squalus crassispinus","955",32.4566113531,13.0885047536,153409,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus cubensis","956",485.697220539,166.937296696,1785570,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus edmundsi","957",64.3238147921,22.7827672182,258298,"SQUALIFORMES","SQUALIDAE","NT"
"Squalus grahami","958",72.8018431977,31.9835797275,363171,"SQUALIFORMES","SQUALIDAE","NT"
"Squalus griffini","959",136.143649609,70.5668752293,684468,"SQUALIFORMES","SQUALIDAE","LC"
"Squalus hemipinnis","960",76.7755616086,19.4965396761,237798,"SQUALIFORMES","SQUALIDAE","NT"
"Squalus japonicus","961",556.05471235,208.646779199,2248230,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus lalannei","962",1.61476382776,0.166086086041,2029.25,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus megalops","963",1506.13366477,1038.22086245,11327300,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus melanurus","964",38.3853100205,12.0890867867,138996,"SQUALIFORMES","SQUALIDAE","LC"
"Squalus mitsukurii","965",660.584918327,212.765453134,2245540,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus montalbani","966",268.101896107,111.344443463,1288530,"SQUALIFORMES","SQUALIDAE","VU"
"Squalus nasutus","967",103.784684297,35.267571725,410568,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus notocaudatus","968",39.3193655099,23.9738658002,281592,"SQUALIFORMES","SQUALIDAE","DD"
"Squalus rancureli","969",36.5520173132,13.0041207839,154418,"SQUALIFORMES","SQUALIDAE","NT"
"Squalus raoulensis","970",2.96126398274,0.577976288285,6250.53,"SQUALIFORMES","SQUALIDAE","LC"
"Squatina aculeata","971",472.33536274,242.142454887,2643450,"SQUATINIFORMES","SQUATINIDAE","CR"
"Squatina africana","972",154.185894409,59.8270983912,682220,"SQUATINIFORMES","SQUATINIDAE","DD"
"Squatina albipunctata","973",99.316115933,54.5610270805,614471,"SQUATINIFORMES","SQUATINIDAE","VU"
"Squatina argentina","974",66.548336885,109.1882832,1080270,"SQUATINIFORMES","SQUATINIDAE","EN"
"Squatina armata","975",294.529393854,68.9217579873,760936,"SQUATINIFORMES","SQUATINIDAE","DD"
"Squatina australis","976",248.690094057,81.7974207706,814121,"SQUATINIFORMES","SQUATINIDAE","LC"
"Squatina californica","977",564.28109651,78.2840897486,735121,"SQUATINIFORMES","SQUATINIDAE","NT"
"Squatina dumeril","978",558.173514862,145.729732135,1591740,"SQUATINIFORMES","SQUATINIDAE","DD"
"Squatina formosa","979",48.5917298362,16.5878706173,187313,"SQUATINIFORMES","SQUATINIDAE","EN"
"Squatina guggenheim","980",105.88599307,45.2123709429,470562,"SQUATINIFORMES","SQUATINIDAE","EN"
"Squatina japonica","981",457.925949083,154.549254289,1585340,"SQUATINIFORMES","SQUATINIDAE","VU"
"Squatina legnota","982",5.33324323917,0.387573206218,4720.82,"SQUATINIFORMES","SQUATINIDAE","DD"
"Squatina nebulosa","983",468.043216911,145.187493164,1468370,"SQUATINIFORMES","SQUATINIDAE","VU"
"Squatina oculata","984",777.335582576,340.71358678,3627690,"SQUATINIFORMES","SQUATINIDAE","CR"
"Squatina pseudocellata","985",46.0917880818,17.2609100142,200909,"SQUATINIFORMES","SQUATINIDAE","DD"
"Squatina punctata","986",89.690885168,29.320833902,313720,"SQUATINIFORMES","SQUATINIDAE","EN"
"Squatina squatina","987",33.7605905552,16.427961728,177906,"SQUATINIFORMES","SQUATINIDAE","CR"
"Squatina tergocellata","988",78.6800074872,37.1720201831,382560,"SQUATINIFORMES","SQUATINIDAE","LC"
"Squatina tergocellatoides","989",56.5520664938,13.7244453599,155349,"SQUATINIFORMES","SQUATINIDAE","VU"
"Stegostoma fasciatum","990",2939.88145201,886.660433257,10512600,"ORECTOLOBIFORMES","STEGOSTOMIDAE","VU"
"Sutorectus tentaculatus","991",106.636999907,43.4452213699,449214,"ORECTOLOBIFORMES","ORECTOLOBIDAE","LC"
"Sympterygia acuta","992",67.0696913134,14.3024712765,151420,"RAJIFORMES","ARHYNCHOBATIDAE","VU"
"Sympterygia bonapartii","993",79.718676302,40.458983983,368788,"RAJIFORMES","ARHYNCHOBATIDAE","DD"
"Sympterygia brevicaudata","994",82.7975534694,10.5266551589,120210,"RAJIFORMES","ARHYNCHOBATIDAE","DD"
"Sympterygia lima","995",232.10016034,21.409461817,192822,"RAJIFORMES","ARHYNCHOBATIDAE","DD"
"Taeniura lymma","996",3020.00315637,224.023383996,2682760,"RAJIFORMES","DASYATIDAE","NT"
"Taeniurops grabata","997",650.105798264,233.187925103,2596280,"RAJIFORMES","DASYATIDAE","DD"
"Taeniurops meyeni","998",3600.85536487,1072.61874303,12682100,"RAJIFORMES","DASYATIDAE","VU"
"Temera hardwickii","999",90.8720098545,7.77229276756,94567.5,"RAJIFORMES","NARKIDAE","VU"
"Tetronarce californica","1000",391.082621595,48.2537191127,429930,"RAJIFORMES","TORPEDINIDAE","LC"
"Torpedo adenensis","1001",2.42061901667,0.324541310412,3886.9,"RAJIFORMES","TORPEDINIDAE","NT"
"Torpedo andersoni","1002",8.03801624821,1.37194278628,15760,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo bauchotae","1003",161.506236757,27.202068799,331579,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo fairchildi","1004",114.312507338,36.289496308,336304,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo formosa","1005",7.87392183096,2.22545243629,24879.4,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo fuscomaculata","1006",202.807208266,76.9979893225,870921,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo mackayana","1007",159.674628285,26.3199722587,320767,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo macneilli","1008",183.495137085,53.8603261464,554610,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo marmorata","1009",934.13645304,227.087298287,2251860,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo microdiscus","1010",6.62581206782,3.33456121894,36884.5,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo nobiliana","1011",1713.53028873,531.811835379,5227120,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo panthera","1012",317.524850869,101.539082007,1161510,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo puelcha","1013",42.2238641105,21.5012050263,221808,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo sinuspersici","1014",563.723837942,123.332760539,1426240,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo suessii","1015",5.4060705512,0.477925181072,5733.65,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo tokionis","1016",219.966979696,90.4581579328,949195,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo torpedo","1017",738.272975165,177.965241867,1865720,"RAJIFORMES","TORPEDINIDAE","DD"
"Torpedo tremens","1018",207.209553235,42.1924599269,486291,"RAJIFORMES","TORPEDINIDAE","DD"
"Triaenodon obesus","1019",4617.73119433,2317.25518157,27615400,"CARCHARHINIFORMES","CARCHARHINIDAE","NT"
"Triakis acutipinna","1020",35.5596192221,10.0319113091,123295,"CARCHARHINIFORMES","TRIAKIDAE","EN"
"Triakis maculata","1021",103.660852623,45.2360628289,537233,"CARCHARHINIFORMES","TRIAKIDAE","VU"
"Triakis megalopterus","1022",114.769783701,42.1679098974,454885,"CARCHARHINIFORMES","TRIAKIDAE","NT"
"Triakis scyllium","1023",548.084755293,145.791978455,1485350,"CARCHARHINIFORMES","TRIAKIDAE","LC"
"Triakis semifasciata","1024",138.088289865,50.8505751857,534576,"CARCHARHINIFORMES","TRIAKIDAE","LC"
"Trigonognathus kabeyai","1025",71.324454722,13.0411822948,139553,"SQUALIFORMES","ETMOPTERIDAE","DD"
"Trygonoptera galba","1026",36.3469089681,11.269039338,122343,"RAJIFORMES","UROLOPHIDAE","DD"
"Trygonoptera imitata","1027",46.3707320679,15.1285511647,145984,"RAJIFORMES","UROLOPHIDAE","NT"
