"GeoName","Territory1","Sovereign1","ISO_Ter1","Area_km2","EconomicVulnerability","DependMarineResource","Education","Tourism","Corruption","ChallengeIndex","OpportunityIndex","CLI","Nospecies","CR","EN","VU","Threatened","rest"
"Lithuanian Exclusive Economic Zone","Lithuania","Lithuania","LTU",6830.53928988,NA,0.305712541363725,0.882,4.91215,-59,NA,NA,2.32,2,0,0,2,2,0
"Madagascan Exclusive Economic Zone","Madagascar","Madagascar","MDG",1196333.81237,34.20600128,2.75317881297095,0.492,16.5725,-24,0.88312,-0.26019,-2.2,72,1,1,24,26,46
"Disputed area Glorioso Islands: France / Madagascar","Madagascar","Madagascar","MDG",43559.8317675,34.20600128,2.75317881297095,0.492,16.5725,-24,0.88312,-0.26019,-2.2,39,0,1,12,13,26
"Malaysian Exclusive Economic Zone","Malaysia","Malaysia","MYS",510822.838776,18.54876328,1.28634558239431,0.7,13.3764,-47,-0.86596,-0.06336,0.67,125,3,9,40,52,73
"Maldives Exclusive Economic Zone","Maldives","Maldives","MDV",925222.836017,47.32566452,11.3145108857638,0.561,76.6439,-33,1.55968,3.62043,-0.19,43,1,3,19,23,20
"Maltese Exclusive Economic Zone","Malta","Malta","MLT",52913.4248289,NA,0.549609011897672,0.781,27.0926,-56,NA,NA,1.77,54,4,5,17,26,28
"Marshall Islands Exclusive Economic Zone","Marshall Islands","Marshall Islands","MHL",2001385.96498,62.22517776,28.8564357535942,NA,NA,NA,NA,NA,NA,27,0,0,14,14,13
"Mauritanian Exclusive Economic Zone","Mauritania","Mauritania","MRT",173189.736645,40.63653564,6.01847011317258,0.377,NA,-28,NA,NA,-1.9,111,5,8,20,33,78
"Mexican Exclusive Economic Zone","Mexico","Mexico","MEX",3186924.40663,18.93079376,0.255911764372898,0.655,15.9859,-29,-0.44544,-0.62527,-0.19,166,3,2,18,23,143
"Micronesian Exclusive Economic Zone","Micronesia","Micronesia","FSM",3010627.5342,57.32354736,25.1330972517943,0.649,1,NA,NA,NA,NA,28,0,0,14,14,14
"Monégasque Exclusive Economic Zone","Monaco","Monaco","MCO",287.610932884,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Montenegrin Exclusive economic Zone","Montenegro","Montenegro","MNE",6382.36937715,NA,NA,0.797,23.6944,-46,NA,NA,1.25,50,2,7,17,26,24
"Moroccan Exclusive Economic Zone","Morocco","Morocco","MAR",280453.136651,15.11248398,1.85997050790849,0.503,18.6401,-40,-0.13043,-0.33383,-0.76,102,3,9,21,33,69
