FID,id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,species_na,code,Shape_Leng,Shape_Area,area
1233,44599,Apristurus manis,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,manis,LC,122.3477684,44.68180014,376144
1234,161554,Narcine insolita,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,NARCINIDAE,Narcine,insolita,DD,3.31797912,0.313200945,3640.479981
1235,41846,Pristiophorus nudipinnis,1,1,1,IUCN,2009,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,PRISTIOPHORIFORMES,PRISTIOPHORIDAE,Pristiophorus,nudipinnis,LC,157.9207715,56.14161053,548117
1236,161500,Brochiraja microspinifera,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Brochiraja,microspinifera,DD,25.17456984,7.006516719,68894
1237,63125,Malacoraja kreffti,1,1,1,GMSA,2015,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Malacoraja,kreffti,LC,44.71031217,31.50931331,201210
1238,161443,Etmopterus pusillus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Etmopterus,pusillus,LC,904.2692525,477.1288754,5040230
1239,161504,Bathyraja tunae,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,tunae,DD,9.601685823,3.651769012,39960.60156
1240,61403,Diplobatis ommata,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,NARCINIDAE,Diplobatis,ommata,VU,211.943701,31.3611197,370311
1241,181361,Cephaloscyllium signourum,1,1,1,IUCN,2011,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Cephaloscyllium,signourum,DD,11.35704723,4.644194325,55392.80078
1242,161599,Raja miraletus,1,1,1,IUCN,2009,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Raja,miraletus,LC,848.3849441,284.22623,2989010
1243,39412,Taeniura lymma,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,DASYATIDAE,Taeniura,lymma,NT,3020.003156,224.023384,2682760
1244,41828,Hypnos monopterygius,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,HYPNIDAE,Hypnos,monopterygius,LC,321.7989264,98.95057213,1078950
1245,161376,Carcharhinus sorrah,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,sorrah,NT,2246.817032,745.7181558,8930560
1246,41752,Cephaloscyllium isabellum,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Cephaloscyllium,isabellum,LC,175.3660196,86.45977235,790628
1247,41741,Carcharhinus brachyurus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,brachyurus,NT,2064.918661,774.0142534,7865880
