"ScientificName","CommonName","order_name","family_nam","code","id_no","web_redlist","assessment_redlist","web_fishbase"
"Anoxypristis cuspidata","Abusef, Sayyafah, Knivtandet savrokke, Karati hangar, Narrow sawfish, Pointed saw-fish, Pointed sawfish, Saw fish, Saw shark, Sawfish, knifetooth sawfish, Pez espada, Pejepeine, Pez sierra, Puukkosaharausku, Poisson-scie, Chhurio, Veher, Nokogiri-ei, Cucut krakas, Mungsing prampang, Pamprang, Pamprang, Parangpang, Pemprang, Prompran, Parangpang, Pemprang, Prompran, Billi sovulu, Chakku thatte, Naithatte, Makara sravu, Makarasravu, Vala sravu, Velli sravi, Nali, Win, shinavale, Yu parang, Beroi, Cucut gergaji, Kan sua, Pamprang, Parangpang, Pari-gergaji jarang, Pemprang, Prompran, Yu beroi, Yu gergaji, Yu todak, Mestandzaagrog, Vela, Iluppa, Hachutti meenu, Shinesi","RAJIFORMES","PRISTIDAE","EN",39389,"http://www.iucnredlist.org/details/classify/39389/0","http://www.iucnredlist.org/pdflink.39389","http://www.fishbase.org/summary/Anoxypristis-cuspidata.html"
"Apristurus albisoma","","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",41718,"http://www.iucnredlist.org/details/classify/41718/0","http://www.iucnredlist.org/pdflink.41718","http://www.fishbase.org/summary/Apristurus-albisoma.html"
"Apristurus ampliceps","","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",42701,"http://www.iucnredlist.org/details/classify/42701/0","http://www.iucnredlist.org/pdflink.42701","http://www.fishbase.org/summary/Apristurus-ampliceps.html"
"Apristurus aphyodes","Heller Tiefwasserkatzenhai, White ghost catshark, Witte kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44207,"http://www.iucnredlist.org/details/classify/44207/0","http://www.iucnredlist.org/pdflink.44207","http://www.fishbase.org/summary/Apristurus-aphyodes.html"
"Apristurus australis","","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",42704,"http://www.iucnredlist.org/details/classify/42704/0","http://www.iucnredlist.org/pdflink.42704","http://www.fishbase.org/summary/Apristurus-australis.html"
"Apristurus brunneus","Brun kattehaj, Brauner Katzenhai, Brown catshark, Brown shark, brown cat shark, Ruskokissahai, Holbiche brune, Requin chat brun, Gattuccio bruno, Bruine kathaai, Bruine handshaai, Rekinek brunatny, Tubarao-castanho, Pata-roxa castanha, Brun Katthaj","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44209,"http://www.iucnredlist.org/details/classify/44209/0","http://www.iucnredlist.org/pdflink.44209","http://www.fishbase.org/summary/Apristurus-brunneus.html"
"Apristurus bucephalus","","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",42703,"http://www.iucnredlist.org/details/classify/42703/0","http://www.iucnredlist.org/pdflink.42703","http://www.fishbase.org/summary/Apristurus-bucephalus.html"
"Apristurus canutus","Hoary cat shark, hoary catshark, Pejegato cano, Holbiche grise, Grauwe kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44572,"http://www.iucnredlist.org/details/classify/44572/0","http://www.iucnredlist.org/pdflink.44572","http://www.fishbase.org/summary/Apristurus-canutus.html"
"Apristurus exsanguis","","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",41719,"http://www.iucnredlist.org/details/classify/41719/0","http://www.iucnredlist.org/pdflink.41719","http://www.fishbase.org/summary/Apristurus-exsanguis.html"
"Apristurus fedorovi","Stout catshark, Stevige kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44210,"http://www.iucnredlist.org/details/classify/44210/0","http://www.iucnredlist.org/pdflink.44210","http://www.fishbase.org/summary/Apristurus-fedorovi.html"
"Apristurus gibbosus","Humpback cat shark, Humpback catshark, Gebochelde kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44211,"http://www.iucnredlist.org/details/classify/44211/0","http://www.iucnredlist.org/pdflink.44211","http://www.fishbase.org/summary/Apristurus-gibbosus.html"
"Apristurus herklotsi","Longfin cat shark, longfin catshark, Langvinkathaai, Pating","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44212,"http://www.iucnredlist.org/details/classify/44212/0","http://www.iucnredlist.org/pdflink.44212","http://www.fishbase.org/summary/Apristurus-herklotsi.html"
"Apristurus indicus","Smallbelly cat shark, smallbelly catshark, Holbiche artouca, Kleinbuikkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161470,"http://www.iucnredlist.org/details/classify/161470/0","http://www.iucnredlist.org/pdflink.161470","http://www.fishbase.org/summary/Apristurus-indicus.html"
"Apristurus internatus","Shortnose demon catshark","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44213,"http://www.iucnredlist.org/details/classify/44213/0","http://www.iucnredlist.org/pdflink.44213","http://www.fishbase.org/summary/Apristurus-internatus.html"
"Apristurus investigatoris","Broadnose cat shark, broadnose catshark, Pejegato ato, Holbiche platnez, Breedsnuitkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44214,"http://www.iucnredlist.org/details/classify/44214/0","http://www.iucnredlist.org/pdflink.44214","http://www.fishbase.org/summary/Apristurus-investigatoris.html"
"Apristurus japonicus","Japanese catshark, Japanese cat shark, Holbiche japonnaise, Holbiche japonaise, Nihon-herazame, Japanse kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161367,"http://www.iucnredlist.org/details/classify/161367/0","http://www.iucnredlist.org/pdflink.161367","http://www.fishbase.org/summary/Apristurus-japonicus.html"
"Apristurus kampae","Longnose cat shark, longnose catshark, Gato trompudo, Pejegato trompudo, Holbiche tapir, Langsnuitkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44215,"http://www.iucnredlist.org/details/classify/44215/0","http://www.iucnredlist.org/pdflink.44215","http://www.fishbase.org/summary/Apristurus-kampae.html"
"Apristurus laurussonii","Island-Tiefwasserkatzenhai, Atlantic ghost catshark, Atlantic ghost cat shark, Cat shark, Flathead cat shark, Iceland cat shark, Iceland catshark, Icelandic catshark, Madeira catshark, Medeira shark, flathead catshark, Pejegato de Madera, Pejegato islandico, Islanninkissahai, Apristurus laurussonii, Holbiche atlantique, Roussette d'Islande, Atlantische spookkathaai, Ijslandse kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44216,"http://www.iucnredlist.org/details/classify/44216/0","http://www.iucnredlist.org/pdflink.44216","http://www.fishbase.org/summary/Apristurus-laurussonii.html"
"Apristurus longicephalus","Longhead cat shark, Smooth-belly catshark, Smoothbelly catshark, longhead catshark, Tengu-herazame, Langkopkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44217,"http://www.iucnredlist.org/details/classify/44217/0","http://www.iucnredlist.org/pdflink.44217","http://www.fishbase.org/summary/Apristurus-longicephalus.html"
"Apristurus macrorhynchus","Flathead cat shark, flathead catshark, Pejegato chato, Holbiche torazame, Naga-herazame, Platkopkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44218,"http://www.iucnredlist.org/details/classify/44218/0","http://www.iucnredlist.org/pdflink.44218","http://www.fishbase.org/summary/Apristurus-macrorhynchus.html"
